0,1,2,3
0.0,0.31,0.69,0.6697
0.0,0.272,0.728,0.3862
0.0,0.605,0.395,0.7296
0.0,0.577,0.423,0.6249
0.0,0.231,0.769,0.4588
0.0,0.0,1.0,0.0
0.0,0.24,0.76,0.8172
0.0,0.608,0.392,0.7351
0.0,0.0,1.0,0.0
0.058,0.0,0.942,-0.1406
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.127,0.0,0.873,-0.1901
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.129,0.121,0.75,-0.0516
0.0,0.253,0.747,0.6948
0.0,0.219,0.781,0.4215
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.163,0.837,0.5106
0.0,0.0,1.0,0.0
0.208,0.284,0.508,0.1901
0.072,0.0,0.928,-0.4767
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.444,0.556,0.4939
0.0,0.416,0.584,0.6908
0.0,0.0,1.0,0.0
0.0,0.457,0.543,0.6369
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.204,0.796,0.6249
0.151,0.091,0.757,-0.2263
0.0,0.351,0.649,0.7579
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.126,0.874,0.3804
0.0,0.291,0.709,0.4351
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.529,0.0,0.471,-0.5216
0.0,0.259,0.741,0.4215
0.0,0.384,0.616,0.8847
0.0,0.346,0.654,0.5719
0.0,0.0,1.0,0.0
0.672,0.0,0.328,-0.6249
0.538,0.0,0.462,-0.5423
0.0,0.0,1.0,0.0
0.0,0.538,0.462,0.5657
0.0,0.141,0.859,0.4201
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.117,0.245,0.638,0.34
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.237,0.0,0.763,-0.4767
0.0,0.303,0.697,0.3832
0.0,0.0,1.0,0.0
0.0,0.225,0.775,0.4939
0.174,0.0,0.826,-0.2732
0.0,0.091,0.909,0.0772
0.0,0.158,0.842,0.6659
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.365,0.635,0.3182
0.091,0.314,0.595,0.5612
0.0,0.0,1.0,0.0
0.0,0.294,0.706,0.3612
0.08,0.0,0.92,-0.0572
0.0,0.091,0.909,0.4019
0.0,0.355,0.645,0.5106
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.083,0.153,0.764,0.296
0.0,0.302,0.698,0.0772
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.659,0.341,0.7003
0.0,0.26,0.74,0.8301
0.0,0.428,0.572,0.5777
0.0,0.612,0.388,0.6948
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
